,Code,Trigger Ratio,Close > Open Percentage,Low Violation 1 week,Low Violation 2 week,Low Violation 3 week,Low Violation 4 week,Close Violation 1 week,Close Violation 2 week,Close Violation 3 week,Close Violation 4 week
153,T,3.218390804597701,57.142857142857146,16.6667,7.1429,7.1429,4.7619,40.4762,11.9048,4.7619,7.1429
154,UAA,2.4479804161566707,50.0,15.0,10.0,10.0,10.0,50.0,5.0,5.0,10.0
155,UAL,2.354399008674102,47.36842105263158,5.2632,10.5263,5.2632,0.0,47.3684,5.2632,0.0,0.0
156,UA,1.444043321299639,75.0,25.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0
157,UDR,2.9885057471264367,46.15384615384615,17.9487,15.3846,17.9487,5.1282,53.8462,12.8205,7.6923,5.1282
158,ULTA,2.374301675977654,47.05882352941177,17.6471,11.7647,5.8824,5.8824,52.9412,5.8824,11.7647,0.0
159,UNH,2.375478927203065,54.83870967741935,16.129,6.4516,12.9032,0.0,41.9355,9.6774,9.6774,0.0
160,UNM,2.835249042145594,48.648648648648646,18.9189,2.7027,8.1081,8.1081,45.9459,10.8108,8.1081,5.4054
161,UNP,3.9846743295019156,50.0,21.1538,21.1538,3.8462,3.8462,53.8462,3.8462,5.7692,3.8462
162,UPS,2.9177718832891246,45.45454545454545,18.1818,12.1212,12.1212,9.0909,57.5758,6.0606,9.0909,3.0303
163,URI,2.4390243902439024,56.666666666666664,26.6667,23.3333,10.0,3.3333,40.0,23.3333,6.6667,0.0
164,USB,2.6053639846743293,61.76470588235294,5.8824,8.8235,11.7647,5.8824,32.3529,17.6471,8.8235,11.7647
165,VFC,3.2950191570881224,65.11627906976744,18.6047,2.3256,6.9767,4.6512,34.8837,18.6047,11.6279,4.6512
166,VIAC,2.8395061728395063,52.17391304347826,17.3913,21.7391,13.0435,4.3478,47.8261,13.0435,4.3478,0.0
167,VLO,2.607361963190184,50.0,23.5294,11.7647,2.9412,5.8824,52.9412,0.0,14.7059,2.9412
168,VMC,3.524904214559387,58.69565217391305,19.5652,8.6957,6.5217,8.6957,39.1304,15.2174,8.6957,6.5217
169,VNO,2.6548672566371683,44.44444444444444,22.2222,0.0,0.0,11.1111,33.3333,22.2222,0.0,11.1111
170,VRSK,2.44299674267101,53.333333333333336,0.0,0.0,20.0,6.6667,33.3333,13.3333,13.3333,0.0
171,VRSN,2.616516762060507,56.25,21.875,6.25,9.375,6.25,46.875,12.5,0.0,6.25
172,VTR,2.4834437086092715,50.0,20.0,6.6667,10.0,3.3333,46.6667,6.6667,6.6667,0.0
173,VZ,3.218390804597701,57.142857142857146,16.6667,14.2857,2.381,2.381,38.0952,14.2857,2.381,7.1429
174,V,3.0215827338129495,66.66666666666667,9.5238,9.5238,4.7619,0.0,38.0952,4.7619,4.7619,4.7619
175,WAB,3.1417624521072796,56.09756097560975,12.1951,19.5122,12.1951,2.439,48.7805,9.7561,4.878,7.3171
176,WAT,1.9157088122605364,56.0,12.0,8.0,8.0,0.0,44.0,0.0,12.0,0.0
177,WBA,3.218390804597701,47.61904761904762,14.2857,7.1429,4.7619,7.1429,52.381,7.1429,9.5238,2.381
178,WDC,2.2222222222222223,55.172413793103445,13.7931,13.7931,3.4483,6.8966,44.8276,17.2414,6.8966,3.4483
179,WEC,2.4521072796934864,46.875,21.875,18.75,3.125,3.125,46.875,9.375,3.125,0.0
